北京,北京,北京,CN101010100
邯郸,河北,邯郸,CN101091001
秦皇岛,河北,秦皇岛,CN101091101
雄安新区,河北,雄安新区,CN101091201
太原,山西,太原,CN101100101
大同,山西,大同,CN101100201
阳泉,山西,阳泉,CN101100301
晋中,山西,晋中,CN101100401
长治,山西,长治,CN101100501
晋城,山西,晋城,CN101100601
临汾,山西,临汾,CN101100701
运城,山西,运城,CN101100801
朔州,山西,朔州,CN101100901
忻州,山西,忻州,CN101101001
吕梁,山西,吕梁,CN101101100
西安,陕西,西安,CN101110101
咸阳,陕西,咸阳,CN101110200
延安,陕西,延安,CN101110300
榆林,陕西,榆林,CN101110401
渭南,陕西,渭南,CN101110501
商洛,陕西,商洛,CN101110601
安康,陕西,安康,CN101110701
汉中,陕西,汉中,CN101110801
宝鸡,陕西,宝鸡,CN101110901
铜川,陕西,铜川,CN101111001
杨凌,陕西,杨凌,CN101111101
济南,山东,济南,CN101120101
青岛,山东,青岛,CN101120201
淄博,山东,淄博,CN101120301
德州,山东,德州,CN101120401
烟台,山东,烟台,CN101120501
潍坊,山东,潍坊,CN101120601
济宁,山东,济宁,CN101120701
泰安,山东,泰安,CN101120801
临沂,山东,临沂,CN101120901
菏泽,山东,菏泽,CN101121001
滨州,山东,滨州,CN101121101
东营,山东,东营,CN101121201
威海,山东,威海,CN101121301
枣庄,山东,枣庄,CN101121401
日照,山东,日照,CN101121501
莱芜,山东,莱芜,CN101121601
聊城,山东,聊城,CN101121701
乌鲁木齐,新疆,乌鲁木齐,CN101130101
克拉玛依,新疆,克拉玛依,CN101130201
石河子,新疆,石河子,CN101130301
昌吉,新疆,昌吉,CN101130401
吐鲁番,新疆,吐鲁番,CN101130501
库尔勒,新疆,巴音郭楞,CN101130601
阿拉尔,新疆,阿拉尔,CN101130701
阿克苏,新疆,阿克苏,CN101130801
喀什,新疆,喀什,CN101130901
伊宁,新疆,伊犁,CN101131001
塔城,新疆,塔城,CN101131101
哈密,新疆,哈密,CN101131201
和田,新疆,和田,CN101131301
阿勒泰,新疆,阿勒泰,CN101131401
阿图什,新疆,克州,CN101131501
博乐,新疆,博尔塔拉,CN101131601
图木舒克,新疆,图木舒克,CN101131701
五家渠,新疆,五家渠,CN101131801
铁门关,新疆,铁门关,CN101131901
昆玉,新疆,昆玉,CN101131920
北屯,新疆,北屯,CN101132101
双河,新疆,双河,CN101132201
可克达拉,新疆,可克达拉,CN101132301
拉萨,西藏,拉萨,CN101140101
日喀则,西藏,日喀则,CN101140201
山南,西藏,山南,CN101140301
林芝,西藏,林芝,CN101140401
昌都,西藏,昌都,CN101140501
那曲,西藏,那曲,CN101140601
阿里,西藏,阿里,CN101140701
西宁,青海,西宁,CN101150101
平安,青海,海东,CN101150201
同仁,青海,黄南,CN101150301
共和,青海,海南,CN101150401
玛沁,青海,果洛,CN101150501
玉树,青海,玉树,CN101150601
德令哈,青海,海西,CN101150701
海晏,青海,海北,CN101150801
兰州,甘肃,兰州,CN101160101
定西,甘肃,定西,CN101160201
平凉,甘肃,平凉,CN101160301
庆阳,甘肃,庆阳,CN101160401
武威,甘肃,武威,CN101160501
金昌,甘肃,金昌,CN101160601
张掖,甘肃,张掖,CN101160701
酒泉,甘肃,酒泉,CN101160801
天水,甘肃,天水,CN101160901
武都,甘肃,陇南,CN101161001
临夏,甘肃,临夏,CN101161101
合作,甘肃,甘南,CN101161201
白银,甘肃,白银,CN101161301
嘉峪关,甘肃,嘉峪关,CN101161401
银川,宁夏,银川,CN101170101
石嘴山,宁夏,石嘴山,CN101170201
吴忠,宁夏,吴忠,CN101170301
固原,宁夏,固原,CN101170401
中卫,宁夏,中卫,CN101170501
郑州,河南,郑州,CN101180101
安阳,河南,安阳,CN101180201
新乡,河南,新乡,CN101180301
许昌,河南,许昌,CN101180401
平顶山,河南,平顶山,CN101180501
信阳,河南,信阳,CN101180601
南阳,河南,南阳,CN101180701
开封,河南,开封,CN101180801
洛阳,河南,洛阳,CN101180901
商丘,河南,商丘,CN101181001
焦作,河南,焦作,CN101181101
鹤壁,河南,鹤壁,CN101181201
濮阳,河南,濮阳,CN101181301
周口,河南,周口,CN101181401
漯河,河南,漯河,CN101181501
驻马店,河南,驻马店,CN101181601
三门峡,河南,三门峡,CN101181701
济源,河南,济源,CN101181801
南京,江苏,南京,CN101190101
无锡,江苏,无锡,CN101190201
镇江,江苏,镇江,CN101190301
苏州,江苏,苏州,CN101190401
南通,江苏,南通,CN101190501
扬州,江苏,扬州,CN101190601
盐城,江苏,盐城,CN101190701
徐州,江苏,徐州,CN101190801
淮安,江苏,淮安,CN101190901
连云港,江苏,连云港,CN101191001
常州,江苏,常州,CN101191101
泰州,江苏,泰州,CN101191201
宿迁,江苏,宿迁,CN101191301
武汉,湖北,武汉,CN101200101
襄阳,湖北,襄阳,CN101200201
鄂州,湖北,鄂州,CN101200301
孝感,湖北,孝感,CN101200401
黄冈,湖北,黄冈,CN101200501
黄石,湖北,黄石,CN101200601
咸宁,湖北,咸宁,CN101200701
荆州,湖北,荆州,CN101200801
宜昌,湖北,宜昌,CN101200901
恩施,湖北,恩施,CN101201001
十堰,湖北,十堰,CN101201101
神农架,湖北,神农架,CN101201201
随州,湖北,随州,CN101201301
荆门,湖北,荆门,CN101201401
天门,湖北,天门,CN101201501
仙桃,湖北,仙桃,CN101201601
潜江,湖北,潜江,CN101201701
杭州,浙江,杭州,CN101210101
湖州,浙江,湖州,CN101210201
嘉兴,浙江,嘉兴,CN101210301
宁波,浙江,宁波,CN101210401
越城,浙江,绍兴,CN101210501
台州,浙江,台州,CN101210601
温州,浙江,温州,CN101210701
丽水,浙江,丽水,CN101210801
金华,浙江,金华,CN101210901
衢州,浙江,衢州,CN101211001
舟山,浙江,舟山,CN101211101
合肥,安徽,合肥,CN101220101
蚌埠,安徽,蚌埠,CN101220201
芜湖,安徽,芜湖,CN101220301
淮南,安徽,淮南,CN101220401
马鞍山,安徽,马鞍山,CN101220501
安庆,安徽,安庆,CN101220601
宿州,安徽,宿州,CN101220701
阜阳,安徽,阜阳,CN101220801
亳州,安徽,亳州,CN101220901
黄山,安徽,黄山,CN101221001
滁州,安徽,滁州,CN101221101
淮北,安徽,淮北,CN101221201
铜陵,安徽,铜陵,CN101221301
宣城,安徽,宣城,CN101221401
六安,安徽,六安,CN101221501
池州,安徽,池州,CN101221701
福州,福建,福州,CN101230101
厦门,福建,厦门,CN101230201
宁德,福建,宁德,CN101230301
莆田,福建,莆田,CN101230401
泉州,福建,泉州,CN101230501
漳州,福建,漳州,CN101230601
龙岩,福建,龙岩,CN101230701
三明,福建,三明,CN101230801
南平,福建,南平,CN101230901
钓鱼岛,福建,钓鱼岛,CN101231001
南昌,江西,南昌,CN101240101
九江,江西,九江,CN101240201
上饶,江西,上饶,CN101240301
抚州,江西,抚州,CN101240401
宜春,江西,宜春,CN101240501
吉安,江西,吉安,CN101240601
赣州,江西,赣州,CN101240701
景德镇,江西,景德镇,CN101240801
萍乡,江西,萍乡,CN101240901
新余,江西,新余,CN101241001
鹰潭,江西,鹰潭,CN101241101
长沙,湖南,长沙,CN101250101
湘潭,湖南,湘潭,CN101250201
株洲,湖南,株洲,CN101250301
衡阳,湖南,衡阳,CN101250401
郴州,湖南,郴州,CN101250501
常德,湖南,常德,CN101250601
益阳,湖南,益阳,CN101250700
娄底,湖南,娄底,CN101250801
邵阳,湖南,邵阳,CN101250901
岳阳,湖南,岳阳,CN101251001
张家界,湖南,张家界,CN101251101
怀化,湖南,怀化,CN101251201
永州,湖南,永州,CN101251401
吉首,湖南,湘西,CN101251501
贵阳,贵州,贵阳,CN101260101
遵义,贵州,遵义,CN101260201
安顺,贵州,安顺,CN101260301
都匀,贵州,黔南,CN101260401
凯里,贵州,黔东南,CN101260501
铜仁,贵州,铜仁,CN101260601
毕节,贵州,毕节,CN101260701
水城,贵州,六盘水,CN101260801
兴义,贵州,黔西南,CN101260901
成都,四川,成都,CN101270101
攀枝花,四川,攀枝花,CN101270201
自贡,四川,自贡,CN101270301
绵阳,四川,绵阳,CN101270401
南充,四川,南充,CN101270501
达州,四川,达州,CN101270601
遂宁,四川,遂宁,CN101270701
广安,四川,广安,CN101270801
巴中,四川,巴中,CN101270901
泸州,四川,泸州,CN101271001
宜宾,四川,宜宾,CN101271101
内江,四川,内江,CN101271201
资阳,四川,资阳,CN101271301
乐山,四川,乐山,CN101271401
眉山,四川,眉山,CN101271501
凉山,四川,凉山,CN101271601
雅安,四川,雅安,CN101271701
甘孜,四川,甘孜,CN101271801
阿坝,四川,阿坝,CN101271901
德阳,四川,德阳,CN101272001
广元,四川,广元,CN101272101
广州,广东,广州,CN101280101
韶关,广东,韶关,CN101280201
惠州,广东,惠州,CN101280301
梅州,广东,梅州,CN101280401
汕头,广东,汕头,CN101280501
深圳,广东,深圳,CN101280601
珠海,广东,珠海,CN101280701
佛山,广东,佛山,CN101280800
肇庆,广东,肇庆,CN101280901
湛江,广东,湛江,CN101281001
江门,广东,江门,CN101281101
河源,广东,河源,CN101281201
清远,广东,清远,CN101281301
云浮,广东,云浮,CN101281401
潮州,广东,潮州,CN101281501
东莞,广东,东莞,CN101281601
中山,广东,中山,CN101281701
阳江,广东,阳江,CN101281801
揭阳,广东,揭阳,CN101281901
茂名,广东,茂名,CN101282001
汕尾,广东,汕尾,CN101282101
昆明,云南,昆明,CN101290101
大理,云南,大理,CN101290201
红河,云南,红河,CN101290301
曲靖,云南,曲靖,CN101290401
保山,云南,保山,CN101290501
文山,云南,文山,CN101290601
玉溪,云南,玉溪,CN101290701
楚雄,云南,楚雄,CN101290801
普洱,云南,普洱,CN101290901
昭通,云南,昭通,CN101291001
临沧,云南,临沧,CN101291101
怒江,云南,怒江,CN101291201
香格里拉,云南,迪庆,CN101291301
丽江,云南,丽江,CN101291401
德宏,云南,德宏,CN101291501
景洪,云南,西双版纳,CN101291601
南宁,广西,南宁,CN101300101
崇左,广西,崇左,CN101300201
柳州,广西,柳州,CN101300301
来宾,广西,来宾,CN101300401
桂林,广西,桂林,CN101300501
梧州,广西,梧州,CN101300601
贺州,广西,贺州,CN101300701
贵港,广西,贵港,CN101300801
玉林,广西,玉林,CN101300901
百色,广西,百色,CN101301001
钦州,广西,钦州,CN101301101
河池,广西,河池,CN101301201
北海,广西,北海,CN101301301
防城港,广西,防城港,CN101301401
海口,海南,海口,CN101310101
三亚,海南,三亚,CN101310201
东方,海南,东方,CN101310202
临高,海南,临高,CN101310203
澄迈,海南,澄迈,CN101310204
儋州,海南,儋州,CN101310205
昌江,海南,昌江,CN101310206
白沙,海南,白沙,CN101310207
琼中,海南,琼中,CN101310208
定安,海南,定安,CN101310209
屯昌,海南,屯昌,CN101310210
琼海,海南,琼海,CN101310211
文昌,海南,文昌,CN101310212
海棠,海南,三亚,CN101310213
保亭,海南,保亭,CN101310214
万宁,海南,万宁,CN101310215
陵水,海南,陵水,CN101310216
吉阳,海南,三亚,CN101310218
乐东,海南,乐东,CN101310221
五指山,海南,五指山,CN101310222
崖州,海南,三亚,CN101310223
三沙,海南,三沙,CN101310301
香港,香港,香港,CN101320101
澳门,澳门,澳门,CN101330101
台北,台湾,台北,CN101340101
高雄,台湾,高雄,CN101340201
台中,台湾,台中,CN101340401
